Player,Link
Kevin De Bruyne,https://youtu.be/WJHkqQh-qjw?si=nt2s8lCruiU_GnTS
Kieran Trippier,https://youtu.be/tYJ3P5w8iDw?si=pfv_FrGuMD2sfJga
Bruno Fernandes,https://youtu.be/wC1kXROHoBI?si=N7NbwMXgeqeywnXH
Harry Kane,https://youtu.be/OxpUCUgb_Z4?si=NEt0MSXvn3EsKKqL
Erling Haaland,https://youtu.be/8fsP2yLkFB8?si=Zz0h6L4H9UW8N7EW
Martin Ødegaard,https://youtu.be/wF_wo6WCM0k?si=eXEpm6-B-tM8T1vZ
Jack Grealish,https://youtu.be/b_rK3VbdE8c?si=6-RJ4wb6JKIoTQPZ
James Maddison,https://youtu.be/SqXobDKghiA?si=ZQg4SDIDzwv34_-a
Rodri,https://youtu.be/N_7beKAnyzA?si=wds1FksdYpSD9nLX
Trent Alexander-Arnold,https://youtu.be/9C7KaOeGHgM?si=c6OgIh-Zr9CFBkxV
Bukayo Saka,https://youtu.be/1gnjmpCq2JY?si=A_0m4-Boq1m8RsA1
Solly March,https://youtu.be/T8qLg9IdvQw?si=ns95FkyelNWymq4b
Thiago Silva,https://youtu.be/NzAPUG6uIOc?si=TDScjeWJ6fbKLS0e
Pascal Groß,https://youtu.be/Rp1NJfoxi7A?si=GQ1ClYDwrt1wEGMG
Ivan Toney,https://youtu.be/CFFSRvc_uCE?si=QKZVsBUUV1193RrB
Ruben Neves,https://youtu.be/cfp_6jaFBlg?si=oHuRkYKZ8atqhv1P
James Ward-Prowse,https://youtu.be/9njbQ_bmcQc?si=kACu9rBwXmgwvDsD
Riyad Mahrez,https://youtu.be/2fsrEben_qM?si=FwSWA_BGRK70Utla
Phil Foden,https://youtu.be/-ARDASAtho0?si=qYaDxYs08JNmxcgU
Casemiro,https://youtu.be/17vdJRg6dyU?si=L-QASls_A2MVKI5H
Alexis Mac Allister,https://youtu.be/Au0ME9vMtIg?si=1rLETp67_8dC6aZ6
James Tarkowski,https://youtu.be/DYuBDbxIKh8?si=sPPyKuRIO8SCSs6M
Declan Rice,https://youtu.be/59a_HYREnnQ?si=ZKpp8NF0uoiTFPSk
Gabriel Martinelli,https://youtu.be/oW4sx-8uQfw?si=SYQMzjvrlPulUMJW
Bruno Guimaraes,https://youtu.be/ZRPIeoKJnlU?si=mBrb6vTST_ujv0zH
Mohamed Salah,https://youtu.be/Nt5qc6Tdyhg?si=3mYBk5dFChTXmxaH
İlkay Gündoğan,https://youtu.be/PpbGAlENJTw?si=FioHoYHrPHqG1j6P
Fabian Schar,https://youtu.be/Ndy36WemlPw?si=sExiB3INO-NSbA8e
Michael Olise,https://youtu.be/DuD4YC8zJEI?si=fzzx2HN3tWa1VS2g
Lisandro Martinez,https://youtu.be/jTbpngIKR-g?si=twA9Ofl7XdxT55AO
Eberechi Eze,https://youtu.be/PdfIdAAa5kk?si=e3rVedu5PxsUL1RI
Pierre-Emile Højbjerg,https://youtu.be/Inb8ArhZk4Y?si=fRQ-wKCP1D8reen5
Thomas Partey,https://youtu.be/1jEeD47bEhc?si=P6YBtLA8juRG6mbZ
Roberto Firmino,https://youtu.be/L9C_-tRgWD8?si=4m4D4shHFTj_hcP9
Virgil van Dijk,https://youtu.be/aYX2QyDeoQw?si=CITjsSfZwg7BsTDZ
Douglas Luiz,https://youtu.be/-96qnyBgMk8?si=SxO8KIiDw9WOXBBY
Luke Shaw,https://youtu.be/JEtxrxYniIM?si=pGO9j4YTEFn2Qgno
Leandro Trossard,https://youtu.be/MR04rPNpHzo?si=Lq9LX-tszdIR69Qz
Kenny Tete,https://youtu.be/vuPNy7oNW_Y?si=UuVEtCWafjD4g-ux
Bryan Mbeumo,https://youtu.be/TN6AtNRA7v8?si=9_YyupwxLf7kmat5
Moises Caicedo,https://youtu.be/Z16SWB2hTog?si=TcXFbMU50-mAvXp6
Aleksandar Mitrović,https://youtu.be/dG993GF6fV0?si=56oU_DmgCPw9EEAj
Heung-min Son,https://youtu.be/LMeWC3nzI3c?si=ChcL1KRTy1_9nId6
Willian,https://youtu.be/ukpg4bsKPCI?si=KIuFLNyaxScz3S39
Kalidou Koulibaly,https://youtu.be/I2EzJ4CdxZM?si=uvJ3noXV1c3fItwa
Gabriel Jesus,https://youtu.be/224TWcGbYrw?si=EERHfjEzbijtGknn
Dwight McNeil,https://youtu.be/icEJpM2ZtO0?si=bc46km3P0EduJTHV
Mason Mount,https://youtu.be/1zEXNQfj-s8?si=Ru79ZPWh_DiPL7wY
Mathias Jensen,https://youtu.be/6ml3ADEwL_I?si=Ry1D0p62fK9bneOq
Diogo Dalot,https://youtu.be/_Tj-A9F-tAU?si=Pyaygqw2KPIi9ZtK
Cody Gakpo,https://youtu.be/_aOGy_KDzsc?si=1sZnC0rY1xYEvYQt
Granit Xhaka,https://youtu.be/HLDjo2xCQ5s?si=jSds0a2ZGtcTyC9K
Youri Tielemans,https://youtu.be/dNt0s2jm50o?si=zyylZ5U298_fuugS
